soa_label	protestant_trouble_deaths	catholic_trouble_deaths	total_population	urban	protestant_stronghold	catholic_stronghold	income_deprivation	violent_crime_rate	asb_rate	republican_PSAs	loyalist_PSAs	protestant_trouble_deaths_enforcement	catholic_trouble_deaths_enforcement	catholic_no_go	protestant_no_go
"Derryaghy_2"	0	0	1697	"TRUE"	"FALSE"	"TRUE"	0.117	7.6	15.3	0	0	0	0	0	0
"Derryaghy_3"	0	0	3992	"FALSE"	"FALSE"	"FALSE"	0.114	11	23.5	1	0	0	1	0	0
"Dromara_1"	0	0	1974	"FALSE"	"TRUE"	"FALSE"	0.099	2.9	5.3	0	0	0	0	0	0
"Dromara_2"	0	0	2724	"FALSE"	"FALSE"	"FALSE"	0.106	6.6	13.7	0	0	0	0	0	0
"Drumbo_1"	0	0	1697	"FALSE"	"FALSE"	"FALSE"	0.088	4.9	13.4	0	0	0	0	0	0
"Drumbo_2"	1	0	1667	"FALSE"	"FALSE"	"FALSE"	0.107	29.3	8.7	0	0	0	0	0	0
"Dunmurry_1"	0	0	2199	"TRUE"	"FALSE"	"FALSE"	0.126	18.4	57.4	0	0	0	0	0	0
"Dunmurry_2"	0	0	2180	"TRUE"	"FALSE"	"TRUE"	0.075	8.9	26.1	0	0	0	0	0	0
"Glenavy_1"	0	0	2946	"FALSE"	"FALSE"	"FALSE"	0.096	7.6	21.6	0	0	0	0	0	0
"Glenavy_2"	0	0	2751	"FALSE"	"FALSE"	"FALSE"	0.103	5.7	9.9	0	0	0	0	0	0
"Harmony Hill"	0	0	3054	"TRUE"	"FALSE"	"FALSE"	0.074	8.3	19.5	0	0	0	0	0	0
"Hilden_1"	0	0	1528	"TRUE"	"FALSE"	"FALSE"	0.162	40.9	70	0	0	0	0	0	0
"Hilden_2"	0	0	1376	"TRUE"	"FALSE"	"FALSE"	0.178	18.3	34.9	0	0	0	0	0	0
"Hillhall_1"	0	0	1420	"TRUE"	"TRUE"	"FALSE"	0.116	13.2	26.9	0	0	0	0	0	0
"Hillhall_2"	1	0	1485	"TRUE"	"FALSE"	"FALSE"	0.124	4.7	13.2	0	0	0	0	0	0
"Hillsborough_1"	0	0	1793	"FALSE"	"FALSE"	"FALSE"	0.1	5.6	11.6	0	0	0	0	0	0
"Hillsborough_2"	0	0	1965	"FALSE"	"FALSE"	"FALSE"	0.085	4.5	7.8	0	0	0	0	0	0
"Kilwee_1"	0	0	1476	"TRUE"	"FALSE"	"TRUE"	0.087	11.2	24.6	0	0	0	0	0	0
"Kilwee_2"	0	0	1688	"TRUE"	"FALSE"	"TRUE"	0.121	24.4	49.8	0	0	0	0	0	0
"Knockmore_1"	0	0	2749	"TRUE"	"FALSE"	"FALSE"	0.112	11.6	20.5	0	0	0	0	0	0
"Knockmore_2"	0	0	1549	"TRUE"	"FALSE"	"FALSE"	0.121	19.6	40.1	0	0	0	0	0	0
"Lagan Valley_1"	0	0	1415	"TRUE"	"FALSE"	"FALSE"	0.146	19.7	36.1	0	0	0	0	0	0
"Lagan Valley_2"	0	0	1638	"TRUE"	"FALSE"	"FALSE"	0.135	46.3	75.9	0	0	0	0	0	0
"Lambeg_1"	0	0	1305	"FALSE"	"FALSE"	"FALSE"	0.111	20	46.3	0	0	0	0	0	0
"Lambeg_2"	0	0	1432	"TRUE"	"TRUE"	"FALSE"	0.127	12.5	24.9	0	0	0	0	0	0
"Lisnagarvey"	0	0	2605	"TRUE"	"FALSE"	"FALSE"	0.088	7.1	17.6	0	0	0	0	0	0
"Maghaberry_1"	0	0	2332	"FALSE"	"TRUE"	"FALSE"	0.105	32.6	15.1	0	0	0	0	0	0
"Maghaberry_2"	0	0	2384	"FALSE"	"FALSE"	"FALSE"	0.091	4.1	7.7	0	0	0	0	0	0
"Magheralave_1"	0	0	1603	"TRUE"	"FALSE"	"FALSE"	0.11	5.8	13.3	0	0	0	0	0	0
"Magheralave_2"	0	0	1687	"TRUE"	"FALSE"	"FALSE"	0.065	4.9	7.2	0	0	0	0	0	0
"Maze_1"	1	0	2158	"FALSE"	"FALSE"	"FALSE"	0.103	6.5	9.4	0	0	0	0	0	0
"Maze_2"	0	0	1658	"FALSE"	"TRUE"	"FALSE"	0.098	4	9.6	0	1	0	0	0	0
"Moira_1"	0	0	2822	"FALSE"	"FALSE"	"FALSE"	0.097	9.2	17.5	0	0	0	0	0	0
"Moira_2"	0	0	2317	"FALSE"	"FALSE"	"FALSE"	0.09	5.4	15.6	0	0	0	0	0	0
"Old Warren"	0	0	2589	"TRUE"	"FALSE"	"FALSE"	0.168	26.3	46.8	0	0	0	0	0	0
"Poleglass_1"	0	0	1986	"TRUE"	"FALSE"	"TRUE"	0.162	24.2	40.9	1	0	0	0	0	0
"Poleglass_2"	0	0	1795	"TRUE"	"FALSE"	"TRUE"	0.113	13.3	19.4	0	0	0	0	0	0
"Seymour Hill"	0	0	2502	"TRUE"	"FALSE"	"FALSE"	0.122	10.5	32.2	0	0	0	0	0	0
"Tonagh"	0	0	2594	"TRUE"	"FALSE"	"FALSE"	0.134	26.9	47.6	0	0	0	0	0	0
"Twinbrook_1"	0	2	1261	"TRUE"	"FALSE"	"TRUE"	0.177	17.9	30.2	1	0	0	1	0	0
"Twinbrook_2"	0	0	1386	"TRUE"	"FALSE"	"TRUE"	0.188	18.4	36.6	0	0	0	0	0	0
"Wallace Park_1"	0	0	1095	"TRUE"	"FALSE"	"FALSE"	0.048	3.7	6.9	0	0	0	0	0	0
"Wallace Park_2"	0	0	2283	"TRUE"	"FALSE"	"FALSE"	0.078	6.7	16.8	0	0	0	0	0	0
"Ballymaguigan"	0	0	2748	"FALSE"	"FALSE"	"FALSE"	0.108	7.3	12.1	0	0	0	0	0	0
"Bellaghy"	0	0	2685	"FALSE"	"FALSE"	"FALSE"	0.136	7.5	6.5	0	0	0	0	0	0
"Castledawson_1"	0	0	1586	"FALSE"	"FALSE"	"FALSE"	0.111	15.1	20.7	0	0	0	0	0	0
"Castledawson_2"	0	0	1743	"FALSE"	"FALSE"	"FALSE"	0.12	7.5	10.3	0	0	0	0	0	0
"Draperstown"	0	0	2984	"FALSE"	"FALSE"	"TRUE"	0.155	6.9	7	0	0	0	0	0	0
"Glebe_1_Magherafelt"	0	0	1799	"TRUE"	"FALSE"	"FALSE"	0.117	26.3	42.1	0	0	0	0	0	0
"Glebe_2_Magherafelt"	0	3	1280	"TRUE"	"FALSE"	"FALSE"	0.138	14.6	36.8	0	0	0	0	0	0
"Gulladuff"	0	0	2723	"FALSE"	"FALSE"	"FALSE"	0.118	6.3	5.5	0	1	0	0	0	0
"Knockcloghrim"	0	0	2747	"FALSE"	"FALSE"	"FALSE"	0.097	5	6.7	0	0	0	0	0	0
"Lecumpher"	2	0	2724	"FALSE"	"FALSE"	"FALSE"	0.133	4.9	7.1	0	0	0	0	0	0
"Lower Glenshane_1"	0	0	1438	"FALSE"	"FALSE"	"TRUE"	0.114	4	3.5	0	0	0	0	0	0
"Lower Glenshane_2"	0	0	1479	"FALSE"	"FALSE"	"TRUE"	0.113	5.6	4.4	0	0	0	0	0	0
"Maghera"	0	0	2852	"FALSE"	"FALSE"	"FALSE"	0.162	17.9	23.4	1	0	0	0	0	0
"Swatragh_1"	0	0	1699	"FALSE"	"FALSE"	"FALSE"	0.137	4	6.9	0	0	0	0	0	0
"Swatragh_2"	0	0	1592	"FALSE"	"FALSE"	"TRUE"	0.144	6.7	4.5	0	0	0	0	0	0
"Tobermore"	0	0	2641	"FALSE"	"FALSE"	"FALSE"	0.111	5.9	5.9	0	0	0	0	0	0
"Town Parks East_1"	0	0	1520	"TRUE"	"FALSE"	"FALSE"	0.152	15.1	25.8	0	0	0	0	0	0
